nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Tugu cot mane,Aceh,Aceh Barat Daya,Tugu cot mane Aceh Barat Daya,"3.7627782,96.8225032",Monumen,3.7627782,96.8225032
TUGU BPD BLANGPIDIE,Aceh,Aceh Barat Daya,TUGU BPD BLANGPIDIE Aceh Barat Daya,"3.7376676,96.8339356",Monumen,3.7376676,96.8339356
Air Terjun,Jawa Barat,Desa Pagandaran,Air Terjun Desa Pagandaran,"-7.721905,108.659707",Air Terjun,-7.721905,108.659707
Air Terjun Anenderat,Papua Barat Daya,Tambrauw,Distrik Miyah,"-0.8699723,132.7346929",Air Terjun,-0.8699723,132.7346929
Air Terjun Bantimurung,Sulawesi Selatan,Sulawesi,Air Terjun Bantimurung Sulawesi,"-5.0165199,119.6855203",Air Terjun,-5.0165199,119.6855203
Air Terjun Bulu Langi,Sulawesi Selatan,Sulawesi,Air Terjun Bulu Langi Sulawesi,"-3.2978811,119.7353132",Air Terjun,-3.2978811,119.7353132
Air Terjun Coban Kromo,Jawa Timur,Tulungagung,Air Terjun Coban Kromo Tulungagung,"-8.1608565,111.8892288",Air Terjun,-8.1608565,111.8892288
Air Terjun Jammeng,Sulawesi Selatan,Sulawesi,Air Terjun Jammeng Sulawesi,"-6.2664018,120.5258454",Air Terjun,-6.2664018,120.5258454
Air Terjun Jumog,Jawa Tengah,Karanganyar,Air Terjun Jumog Karanganyar,"-7.6312129,111.1269212",Air Terjun,-7.6312129,111.1269212
Air Terjun Kalipait,Jawa Timur,Bondowoso,Air Terjun Kalipait Bondowoso,"-8.0625041,114.216544",Air Terjun,-8.0625041,114.216544
Air Terjun Lawean,Jawa Timur,Tulungagung,Air Terjun Lawean Tulungagung,"-7.8824527,111.7971947",Air Terjun,-7.8824527,111.7971947
Air Terjun Parang Ijo,Jawa Tengah,Karanganyar,Air Terjun Parang Ijo Karanganyar,"-7.6218307,111.1340236",Air Terjun,-7.6218307,111.1340236
Air Terjun Pelabian,Jambi,Tanjung Jabung Barat,Air Terjun Pelabian Tanjung Jabung Barat,"-1.1218999,102.959056",Air Terjun,-1.1218999,102.959056
Air Terjun Saka Dua,Kalimantan Barat,Sanggau,Air Terjun Saka Dua Sanggau,"-0.0408918,110.5366195",Air Terjun,-0.0408918,110.5366195
air terjun sarasaah nyiak sabi,Sumatera Barat,Agam,air terjun sarasaah nyiak sabi Agam,"-0.1179092,100.302135",Air Terjun,-0.1179092,100.302135
Air Terjun Sri Gethuk,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,Air Terjun Sri Gethuk Kabupaten Gunungkidul,"-7.9432134,110.4895782",Air Terjun,-7.9432134,110.4895782
Air Terjun Studio Alam,Jawa Timur,Magetan,Air Terjun Studio Alam Magetan,"-7.6547379,111.1879618",Air Terjun,-7.6547379,111.1879618
Air Terjun Tanggendu,Nusa Tenggara Timur,Kecamatan Kanatang,Air Terjun Tanggendu Kecamatan Kanatang,"-9.5745182,120.0908408",Air Terjun,-9.5745182,120.0908408
Air Terjun Tangkup Krisik,Bali,Bangli,Air Terjun Tangkup Krisik Bangli,"-8.4575023,115.3877655",Air Terjun,-8.4575023,115.3877655
Air Terjun Telunjuk Raung,Jawa Timur,Banyuwangi,Songgon,"-8.1717934,114.1419868",Air Terjun,-8.1717934,114.1419868
Air Terjun Temburun,Kepulauan Riau,Kepulauan Anambas,Air Terjun Temburun Kepulauan Anambas,"3.1819543,106.271721",Air Terjun,3.1819543,106.271721
Air Terjun Tukad Cepung,Bali,Bangli,Air Terjun Tukad Cepung Bangli,"-8.4423213,115.3879035",Air Terjun,-8.4423213,115.3879035
Air Terjun Waimarang,Nusa Tenggara Timur,Sumba Timur,Air Terjun Waimarang Sumba Timur,"-9.9688207,120.6028936",Air Terjun,-9.9688207,120.6028936
Balai Adat Melayu Pulau Penyengat,Kepulauan Riau,Tanjungpinang,Balai Adat Melayu Pulau Penyengat Tanjungpinang,"0.9273128,104.4146953",Alam,0.9273128,104.4146953
Balai Budaya  Kampung Tradisional Tuksono,Daerah Istimewa Yogyakarta,Kulonprogo,Balai Budaya  Kampung Tradisional Tuksono Kulonprogo,"-7.8830448,110.251944",Budaya,-7.8830448,110.251944
Balai Desa Kedungjati,Jawa Tengah,Purbalingga,JL Bukateja  Kutawis KM,"-7.4266177,109.4472203",Alam,-7.4266177,109.4472203
Balai kesenian park,DKI Jakarta,Daerah Khusus ibukota Jakarta,Balai kesenian park Daerah Khusus ibukota Jakarta,"-6.1685719,106.7355221",Taman,-6.1685719,106.7355221
Balai Padukuhan Taruban Wetan,Daerah Istimewa Yogyakarta,Kulonprogo,Balai Padukuhan Taruban Wetan Kulonprogo,"-7.8784679,110.2373375",Alam,-7.8784679,110.2373375
Balai Penelitian Tanaman Obat dan Aromatik,Jawa Barat,Bogor,Balai Penelitian Tanaman Obat dan Aromatik Bogor,"-6.5763989,106.7856259",Alam,-6.5763989,106.7856259
Balai Pengelolaan Taman Budaya,Jawa Barat,Kota Bandung,Balai Pengelolaan Taman Budaya Kota Bandung,"-6.868279,107.6204483",Taman,-6.868279,107.6204483
Balai Tahura,Banten,Pandeglang,Kabupaten Pandeglang Banten,"-6.2926599,105.8412076",Alam,-6.2926599,105.8412076
Balaimai,Papua Tengah,Puncak,Balaimai Puncak,"-3.3296852,136.9811818",Alam,-3.3296852,136.9811818
Banda Neira,Kecamatan Banda,Maluku,Kabupaten Maluku Tengah,4.5167036°S 129.9030304°E,Alam,-4.5167036,129.9030304
Beach,Nusa Tenggara Timur,Nagekeo,Beach Nagekeo,"-8.7922035,121.4108667",Pantai,-8.7922035,121.4108667
Beach Food Court,DKI Jakarta,Daerah Khusus ibukota Jakarta,Beach Food Court Daerah Khusus ibukota Jakarta,"-6.1204679,106.8467899",Pantai,-6.1204679,106.8467899
Bedugul,Bali,Denpasar,tabanan,8.283°S 115.167°E,Alam,-8.283,115.167
Bukit Arsitektur Fakultas Teknik UNS,Jawa Tengah,Surakarta,Bukit Arsitektur Fakultas Teknik UNS Surakarta,"-7.5606622,110.8538301",Pegunungan,-7.5606622,110.8538301
Bukit Bintang,Jawa Timur,Kota Batu,Bukit Bintang Kota Batu,"-7.878596,112.5228033",Pegunungan,-7.878596,112.5228033
Bukit Chili Rafting,Bali,Karangasem,Bukit Chili Rafting Karangasem,"-8.423922,115.4376378",Pegunungan,-8.423922,115.4376378
Bukit Clara,Kepulauan Riau,Batam,Bukit Clara Batam,"1.12159,104.05411",Pegunungan,1.12159,104.05411
Bukit J,Jawa Timur,Jember,Bukit J Jember,"-8.0598351,113.7336713",Pegunungan,-8.0598351,113.7336713
Bukit Kapur Arosbaya,Jawa Timur,Bangkalan,Bukit Kapur Arosbaya Bangkalan,"-6.9474419,112.8593068",Pegunungan,-6.9474419,112.8593068
Bukit Lintang Sewu,Daerah Istimewa Yogyakarta,Bantul,Bukit Lintang Sewu Bantul,"-7.9138987,110.4355259",Pegunungan,-7.9138987,110.4355259
Bukit Mpolenda,Sulawesi Tengah,Poso,Bukit Mpolenda Poso,"-1.4949322,120.3218106",Pegunungan,-1.4949322,120.3218106
Bukit Rhema Chicken Church,Jawa Tengah,Magelang,Bukit Rhema Chicken Church Magelang,"-7.6056122,110.1805905",Pegunungan,-7.6056122,110.1805905
Bukit Sentosa Estate,Kepulauan Riau,Batam,Bukit Sentosa Estate Batam,"1.0495805,104.0435583",Pegunungan,1.0495805,104.0435583
Bukit Surya Indah,Kepulauan Riau,Batam,Bukit Surya Indah Batam,"1.1197522,104.0885055",Pegunungan,1.1197522,104.0885055
Bukit Tengah,Bali,Karangasem,Bukit Tengah Karangasem,"-8.5385661,115.4768394",Pegunungan,-8.5385661,115.4768394
Bukit Tengkorak,DKI Jakarta,Daerah Khusus ibukota Jakarta,Bukit Tengkorak Daerah Khusus ibukota Jakarta,"-5.9285721,106.5825347",Pegunungan,-5.9285721,106.5825347
Bukit Wisata Pulepayung,Daerah Istimewa Yogyakarta,Kulonprogo,Bukit Wisata Pulepayung Kulonprogo,"-7.7999084,110.1234788",Pegunungan,-7.7999084,110.1234788
Candi Abang,Daerah Istimewa Yogyakarta,Sleman,Candi Abang Sleman,"-7.8102254,110.4687098",Alam,-7.8102254,110.4687098
Candi Angin,Jawa Tengah,Jepara,Candi Angin Jepara,"-6.6053274,110.8639834",Alam,-6.6053274,110.8639834
Candi Bajang Ratu,Jawa Timur,Mojokerto,Candi Bajang Ratu Mojokerto,"-7.5677409,112.3987632",Alam,-7.5677409,112.3987632
Candi Banyunibo,Daerah Istimewa Yogyakarta,Sleman,Candi Banyunibo Sleman,"-7.7779947,110.4940445",Alam,-7.7779947,110.4940445
Candi Bayi,Jawa Timur,Mojokerto,Candi Bayi Mojokerto,"-7.6139718,112.6055954",Alam,-7.6139718,112.6055954
Candi Bentar,Bali,Karangasem,Candi Bentar Karangasem,"-8.3913779,115.6306841",Alam,-8.3913779,115.6306841
Candi Bima,Jawa Tengah,Banjarnegara,Candi Bima Banjarnegara,"-7.2142683,109.9104871",Alam,-7.2142683,109.9104871
Candi Blambongan,Jawa Barat,Karawang,Candi Blambongan Karawang,"-6.05572,107.1536283",Alam,-6.05572,107.1536283
Candi Bubrah,Jawa Tengah,Jepara,Candi Bubrah Jepara,"-6.6034772,110.8649112",Alam,-6.6034772,110.8649112
Candi Cangkuang,Jawa Barat,Cangkuang,Candi Cangkuang Cangkuang,"-7.102927,107.9188749",Alam,-7.102927,107.9188749
Candi Carik,Jawa Timur,Mojokerto,Candi Carik Mojokerto,"-7.6132392,112.6109145",Alam,-7.6132392,112.6109145
Candi Dadi,Jawa Timur,Tulungagung,Candi Dadi Tulungagung,"-8.1302386,111.9268294",Alam,-8.1302386,111.9268294
Candi Dharmawangsa,Jawa Timur,Mojokerto,Candi Dharmawangsa Mojokerto,"-7.604272,112.6221719",Alam,-7.604272,112.6221719
Candi Gajah Mungkur,Jawa Timur,Mojokerto,Candi Gajah Mungkur Mojokerto,"-7.604506,112.6215523",Alam,-7.604506,112.6215523
Candi Gambar Wetan,Jawa Timur,Blitar,Candi Gambar Wetan Blitar,"-7.9680444,112.2388364",Alam,-7.9680444,112.2388364
Candi Gampingan,Daerah Istimewa Yogyakarta,Bantul,Candi Gampingan Bantul,"-7.8383207,110.4369468",Alam,-7.8383207,110.4369468
Candi Gana,Jawa Tengah,Klaten,Candi Gana Klaten,"-7.7439517,110.4961166",Alam,-7.7439517,110.4961166
Candi Gebang,Daerah Istimewa Yogyakarta,Sleman,Candi Gebang Sleman,"-7.7514278,110.416224",Alam,-7.7514278,110.416224
Candi Gedog,Jawa Timur,Blitar,Candi Gedog Blitar,"-8.0877749,112.1841994",Alam,-8.0877749,112.1841994
Candi Gentong,Jawa Timur,Mojokerto,Candi Gentong Mojokerto,"-7.6111708,112.6122723",Alam,-7.6111708,112.6122723
Candi Griya,Jawa Timur,Mojokerto,Candi Griya Mojokerto,"-7.6032082,112.6206324",Alam,-7.6032082,112.6206324
Candi Gunung Wukir,Jawa Tengah,Magelang,Candi Gunung Wukir Magelang,"-7.6342417,110.2968186",Gunung,-7.6342417,110.2968186
Candi Gununggangsir,Jawa Timur,Bangil,Candi Gununggangsir Bangil,"-7.5866825,112.7333068",Gunung,-7.5866825,112.7333068
Candi Guru,Jawa Timur,Mojokerto,Candi Guru Mojokerto,"-7.6148901,112.6127009",Alam,-7.6148901,112.6127009
Candi Hati Kudus Yesus,Daerah Istimewa Yogyakarta,Bantul,Candi Hati Kudus Yesus Bantul,"-7.9261218,110.3198549",Alam,-7.9261218,110.3198549
Candi Jawi,Jawa Timur,Bangil,Candi Jawi Bangil,"-7.6624877,112.669879",Alam,-7.6624877,112.669879
Candi jolotundo,Jawa Timur,Mojokerto,Candi jolotundo Mojokerto,"-7.6100965,112.595732",Alam,-7.6100965,112.595732
Candi Kadisoka,Daerah Istimewa Yogyakarta,Sleman,Candi Kadisoka Sleman,"-7.7552364,110.4458063",Alam,-7.7552364,110.4458063
Candi Kama,Jawa Timur,Mojokerto,Candi Kama  Mojokerto,"-7.6042414,112.6206256",Alam,-7.6042414,112.6206256
Candi Karang Besuki,Jawa Timur,Kota Malang,Candi Karang Besuki Kota Malang,"-7.9523146,112.5997549",Alam,-7.9523146,112.5997549
Candi Kedulan,Daerah Istimewa Yogyakarta,Sleman,Candi Kedulan Sleman,"-7.7425947,110.4697271",Alam,-7.7425947,110.4697271
Candi Kedung Jumbleng,Jawa Tengah,Ungaran,Candi Kedung Jumbleng Ungaran,"-7.1398387,110.4139629",Alam,-7.1398387,110.4139629
Candi Kendalisodo,Jawa Timur,Mojokerto,Candi Kendalisodo Mojokerto,"-7.6067777,112.6076324",Alam,-7.6067777,112.6076324
Candi Kerajaan,Jawa Timur,Mojokerto,Candi Kerajaan Mojokerto,"-7.6039862,112.6236257",Alam,-7.6039862,112.6236257
Candi Ketawanggede,Jawa Timur,Kelurahan Ketawanggede,Candi Ketawanggede Kelurahan Ketawanggede,"-7.946843,112.6123534",Alam,-7.946843,112.6123534
Candi Kimpulan,Daerah Istimewa Yogyakarta,Sleman,Candi Kimpulan Sleman,"-7.6883659,110.4153318",Alam,-7.6883659,110.4153318
Candi Kul Kul,DKI Jakarta,Daerah Khusus ibukota Jakarta,Candi Kul Kul Daerah Khusus ibukota Jakarta,"-6.1219264,106.8393104",Alam,-6.1219264,106.8393104
Candi Laras,Kalimantan Selatan,Tapin,Candi Laras Tapin,"-2.8736746,114.9422076",Alam,-2.8736746,114.9422076
Candi Lemari,Jawa Timur,Mojokerto,Candi Lemari Mojokerto,"-7.6078498,112.6123137",Alam,-7.6078498,112.6123137
Candi Lurah,Jawa Timur,Mojokerto,Candi Lurah Mojokerto,"-7.613422,112.6118635",Alam,-7.613422,112.6118635
Candi Merak,Jawa Timur,Mojokerto,Candi Merak Mojokerto,"-7.6066004,112.6133722",Alam,-7.6066004,112.6133722
Candi Miri,Daerah Istimewa Yogyakarta,Sleman,Candi Miri Sleman,"-7.7710173,110.5040988",Alam,-7.7710173,110.5040988
Candi Morangan,Daerah Istimewa Yogyakarta,Argomulyo,Candi Morangan Argomulyo,"-7.6698765,110.4626853",Alam,-7.6698765,110.4626853
Candi Naga,Jawa Timur,Mojokerto,Candi Naga Mojokerto,"-7.6138526,112.6106987",Alam,-7.6138526,112.6106987
Candi Naga,Jawa Timur,Mojokerto,Candi Naga  Mojokerto,"-7.608458,112.6105279",Alam,-7.608458,112.6105279
Candi NN,Jawa Timur,Mojokerto,Candi NN Mojokerto,"-7.6047027,112.6170999",Alam,-7.6047027,112.6170999
Candi Palgading,Daerah Istimewa Yogyakarta,Sleman,Candi Palgading Sleman,"-7.7259823,110.4109401",Alam,-7.7259823,110.4109401
Candi Penampihan,Jawa Timur,Tulungagung,Candi Penampihan Tulungagung,"-7.9027228,111.7952694",Alam,-7.9027228,111.7952694
Candi Penanggungan,Jawa Timur,Mojokerto,Candi Penanggungan Mojokerto,"-7.6060676,112.6135097",Alam,-7.6060676,112.6135097
Candi Plaosan Kidul,Jawa Tengah,Klaten,Candi Plaosan Kidul Klaten,"-7.7426813,110.5047479",Alam,-7.7426813,110.5047479
Candi Plaosan Lor,Jawa Tengah,Klaten,Candi Plaosan Lor Klaten,"-7.7405551,110.504646",Alam,-7.7405551,110.504646
Candi Prambanan,Sleman dan Klaten,Daerah Istimewa Yogyakarta,Sleman,7.75200000°S 110.49122000°E,Alam,-7.752,110.49122
Candi Pura,Jawa Timur,Mojokerto,Candi Pura Mojokerto,"-7.6115047,112.6106941",Alam,-7.6115047,112.6106941
Candi Putri,Jawa Timur,Mojokerto,Candi Putri Mojokerto,"-7.611832,112.6093412",Alam,-7.611832,112.6093412
Candi Rengganis,Jawa Timur,Probolinggo,Candi Rengganis Probolinggo,"-7.9647946,113.5730157",Alam,-7.9647946,113.5730157
Candi ruins,Bali,Gianyar,Candi ruins Gianyar,"-8.5235848,115.2866581",Alam,-8.5235848,115.2866581
Candi Sambisari,Daerah Istimewa Yogyakarta,Sleman,Candi Sambisari Sleman,"-7.7623668,110.446949",Alam,-7.7623668,110.446949
Candi Sari,Daerah Istimewa Yogyakarta,Sleman,Candi Sari Sleman,"-7.7615065,110.4742174",Alam,-7.7615065,110.4742174
Candi Selokelir,Jawa Timur,Mojokerto,Candi Selokelir Mojokerto,"-7.6251042,112.6080982",Alam,-7.6251042,112.6080982
Candi Sengon,Jawa Timur,Mojokerto,Candi Sengon Mojokerto,"-7.6045661,112.6151579",Alam,-7.6045661,112.6151579
Candi Shiwa,Jawa Timur,Mojokerto,Candi Shiwa Mojokerto,"-7.6144409,112.6121525",Alam,-7.6144409,112.6121525
Candi Sialang,Jambi,Muaro Jambi,Candi Sialang Muaro Jambi,"-1.4684908,103.681291",Alam,-1.4684908,103.681291
Candi Simping,Jawa Timur,Blitar,Candi Simping Blitar,"-8.1640797,112.1461388",Alam,-8.1640797,112.1461388
Candi Sinta,Jawa Timur,Mojokerto,Candi Sinta Mojokerto,"-7.6112472,112.6125607",Alam,-7.6112472,112.6125607
Candi Sirah Kencong,Jawa Timur,Blitar,Candi Sirah Kencong Blitar,"-7.9800031,112.4278234",Alam,-7.9800031,112.4278234
Candi Sojiwan,Jawa Tengah,Klaten,Candi Sojiwan Klaten,"-7.7608885,110.4961263",Alam,-7.7608885,110.4961263
Candi Somdet Nyanasamvara,Sumatera Utara,Deli Serdang,Candi Somdet Nyanasamvara Deli Serdang,"3.6389343,98.700837",Alam,3.6389343,98.700837
Candi Tawangalun,Jawa Timur,Sidoarjo,Candi Tawangalun Sidoarjo,"-7.3988488,112.7891649",Alam,-7.3988488,112.7891649
Candi Tebing Krobokan,Bali,Gianyar,Candi Tebing Krobokan Gianyar,"-8.485011,115.3084916",Alam,-8.485011,115.3084916
Candi Tebing Tegallinggah,Bali,Gianyar,Candi Tebing Tegallinggah Gianyar,"-8.5271734,115.3065887",Alam,-8.5271734,115.3065887
Candi Tikus,Jawa Timur,Mojokerto,Candi Tikus Mojokerto,"-7.5718035,112.4035341",Alam,-7.5718035,112.4035341
Candi Tugu,Jawa Tengah,Kota Semarang,Candi Tugu Kota Semarang,"-6.9802289,110.3492707",Monumen,-6.9802289,110.3492707
Candi Tumpak Wolu,Jawa Timur,Mojokerto,Candi Tumpak Wolu Mojokerto,"-7.6032232,112.6158902",Alam,-7.6032232,112.6158902
Candi Umbul,Jawa Tengah,Magelang,Candi Umbul Magelang,"-7.359577,110.297108",Alam,-7.359577,110.297108
Candi Wayang,Jawa Timur,Mojokerto,Candi Wayang Mojokerto,"-7.6054843,112.6217173",Alam,-7.6054843,112.6217173
Candi Wisnu,Jawa Timur,Mojokerto,Candi Wisnu Mojokerto,"-7.6147858,112.613817",Alam,-7.6147858,112.613817
Candi Wringin Branjang,Jawa Timur,Blitar,Candi Wringin Branjang Blitar,"-8.0027503,112.2817723",Alam,-8.0027503,112.2817723
Cave Burial Site,Sulawesi Selatan,Tana Toraja,Cave Burial Site Tana Toraja,"-3.0877273,119.9024613",Alam,-3.0877273,119.9024613
Curug Arca,Jawa Barat,Kab Bogor,Curug Arca Kab Bogor,"-6.6555179,107.0141396",Air Terjun,-6.6555179,107.0141396
Curug Bugbrug,Jawa Barat,Bandung Barat,Curug Bugbrug Bandung Barat,"-6.7922202,107.5801987",Air Terjun,-6.7922202,107.5801987
Curug Cibeet,Jawa Barat,Kab Bogor,Curug Cibeet Kab Bogor,"-6.6640005,107.0075789",Air Terjun,-6.6640005,107.0075789
Curug Ciherang,Jawa Barat,Kab Bogor,Curug Ciherang Kab Bogor,"-6.6371011,106.9990126",Air Terjun,-6.6371011,106.9990126
Curug Cipamingkis,Jawa Barat,Kab Bogor,Curug Cipamingkis Kab Bogor,"-6.6404044,107.0113877",Air Terjun,-6.6404044,107.0113877
Curug Cipendok,Jawa Tengah,Purwokerto,Curug Cipendok Purwokerto,"-7.3454571,109.1466432",Air Terjun,-7.3454571,109.1466432
Curug Countri,Jawa Barat,Kab Bogor,Curug Countri Kab Bogor,"-6.571813,107.120837",Air Terjun,-6.571813,107.120837
Curug Ngebul,Jawa Barat,Cianjur,Curug Ngebul Cianjur,"-7.1551185,107.2042556",Air Terjun,-7.1551185,107.2042556
Curug Pinang,Jawa Tengah,Purwokerto,Curug Pinang Purwokerto,"-7.31114,109.2368298",Air Terjun,-7.31114,109.2368298
Curug Putri Carita,Banten,Pandeglang,Sukarame Carita Kabupaten Pandeglang Banten,"-6.2778135,105.8562169",Air Terjun,-6.2778135,105.8562169
Curug Putri Carita Pandeglang,Banten,Pandeglang,Curug Putri Carita Pandeglang Pandeglang,"-6.2776722,105.8568916",Air Terjun,-6.2776722,105.8568916
Curug Telu,Jawa Tengah,Purwokerto,Curug Telu Purwokerto,"-7.3179337,109.2419474",Air Terjun,-7.3179337,109.2419474
Danau Bira,Papua,Mamberamo Raya,Danau Bira Mamberamo Raya,"-2.5627673,138.0805331",Danau,-2.5627673,138.0805331
Danau Biru,Kepulauan Bangka Belitung,Belitung,Danau Biru Belitung,"-2.7718522,107.6295199",Danau,-2.7718522,107.6295199
Danau Biru Kembar,Riau,Indragiri Hulu,Danau Biru Kembar Indragiri Hulu,"-0.6678309,102.4334173",Danau,-0.6678309,102.4334173
Danau Emfote,Papua,Sentani,Danau Emfote Sentani,"-2.6606606,140.5391968",Danau,-2.6606606,140.5391968
Danau Kapeta,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro,Danau Kapeta Kepulauan Siau Tagulandang Biaro,"2.65471,125.3989084",Danau,2.65471,125.3989084
DANAU KIBEKAN,Sumatera Selatan,Muara Enim,DANAU KIBEKAN Muara Enim,"-3.617762,104.401859",Danau,-3.617762,104.401859
DANAU MAWANG,Sulawesi Selatan,Sulawesi,DANAU MAWANG Sulawesi,"-5.2252762,119.5025933",Danau,-5.2252762,119.5025933
Danau moko,Sulawesi Tenggara,Muna,Danau moko Muna,"-5.1742752,122.5833495",Danau,-5.1742752,122.5833495
Danau Permai PC PKT Bontang,Kalimantan Timur,Bontang,Danau Permai PC PKT Bontang Bontang,"0.1463578,117.4615451",Danau,0.1463578,117.4615451
Danau Sentarum,Kalimantan Barat,Kapuas Hulu,Danau Sentarum Kapuas Hulu,"0.8510299,112.1016308",Danau,0.8510299,112.1016308
Danau Wisata Teluk Gelam,Sumatera Selatan,Ogan Komering Ilir,Danau Wisata Teluk Gelam Ogan Komering Ilir,"-3.5651185,104.7942738",Danau,-3.5651185,104.7942738
Danauwaduk,Papua Tengah,Deiyai,Danauwaduk Deiyai,"-4.022834,136.2812928",Danau,-4.022834,136.2812928
Goa Botol,Jawa Timur,Mojokerto,Goa Botol Mojokerto,"-7.6169471,112.6193855",Alam,-7.6169471,112.6193855
Goa Garba,Bali,Gianyar,Goa Garba Gianyar,"-8.5075278,115.3036241",Alam,-8.5075278,115.3036241
Goa Jepang,Daerah Istimewa Yogyakarta,Bantul,Goa Jepang Bantul,"-8.0011317,110.3290669",Alam,-8.0011317,110.3290669
Goa Jepang Japanese cave,Papua,Biak Numfor,Goa Jepang Japanese cave Biak Numfor,"-1.1779669,136.1056001",Alam,-1.1779669,136.1056001
Goa Lawa,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,Goa Lawa Kabupaten Gunungkidul,"-8.0250163,110.5542658",Alam,-8.0250163,110.5542658
Goa Lokale Wosi,Papua Pegunungan,Jayawijaya,Goa Lokale Wosi Jayawijaya,"-3.9224864,138.872908",Alam,-3.9224864,138.872908
Goa Maria,Sumatera Utara,Samosir,Goa Maria Samosir,"2.4921819,98.808504",Alam,2.4921819,98.808504
Goa Rang Reng,Bali,Gianyar,Goa Rang Reng Gianyar,"-8.5162049,115.3313046",Alam,-8.5162049,115.3313046
Goa Siluman,Daerah Istimewa Yogyakarta,Bantul,Goa Siluman Bantul,"-7.8026927,110.4138496",Alam,-7.8026927,110.4138496
Gua Japeng,Sulawesi Utara,Tomohon,Gua Japeng Tomohon,"1.3307129,124.8078693",Alam,1.3307129,124.8078693
Gua Jepang,Papua Barat Daya,Sorong,Gua Jepang Sorong,"-0.8858236,131.2358239",Alam,-0.8858236,131.2358239
Gua Maharani,Jawa Timur,Lamongan,Gua Maharani Lamongan,"-6.8678872,112.3621443",Alam,-6.8678872,112.3621443
Gua Maria Kerep Ambarawa,Jawa Tengah,Ungaran,Gua Maria Kerep Ambarawa Ungaran,"-7.255488,110.3984538",Alam,-7.255488,110.3984538
Gua Sumur Sumberarum,Jawa Timur,Bojonegoro,Gua Sumur Sumberarum Bojonegoro,"-7.2687658,111.8613628",Alam,-7.2687658,111.8613628
Gua Wa Ode Pogo,Sulawesi Tenggara,Buton Selatan,Gua Wa Ode Pogo Buton Selatan,"-5.5207779,122.494617",Alam,-5.5207779,122.494617
Gualo,Papua Pegunungan,Tolikara,Gualo Tolikara,"-3.2719862,138.2568399",Alam,-3.2719862,138.2568399
Guawage,Papua Pegunungan,Yalimo,Guawage Yalimo,"-3.7510205,139.3808771",Alam,-3.7510205,139.3808771
Gunung Bromo,Jawa Timur,Pasuruan,Gunung Bromo Pasuruan,"-7.9420691,112.9529769",Gunung,-7.9420691,112.9529769
Gunung Gajah,Daerah Istimewa Yogyakarta,Kulonprogo,Gunung Gajah Kulonprogo,"-7.7229219,110.1274591",Gunung,-7.7229219,110.1274591
Gunung Kembu,Papua Pegunungan,Tolikara,Gunung Kembu Tolikara,"-3.5058819,138.4951971",Gunung,-3.5058819,138.4951971
Gunung Kidul,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,Gunung Kidul Kabupaten Gunungkidul,"-7.8471675,110.4793346",Gunung,-7.8471675,110.4793346
Gunung Kotak,Jawa Timur,Ponorogo,Gunung Kotak Ponorogo,"-8.0659411,111.4611707",Gunung,-8.0659411,111.4611707
Gunung Luhur,Banten,Lebak,Gunung Luhur Lebak,"-6.7426187,106.3318364",Gunung,-6.7426187,106.3318364
Gunung Mas Tea Plantation Entry Point,Jawa Barat,Kab Bogor,Gunung Mas Tea Plantation Entry Point Kab Bogor,"-6.7029813,106.9715588",Gunung,-6.7029813,106.9715588
Gunung Sari Luwak Coffee,Bali,Gianyar,Gunung Sari Luwak Coffee Gianyar,"-8.5855431,115.3471842",Gunung,-8.5855431,115.3471842
Hilli GoweTuheo Gulo Megalitic Site,Sumatera Utara,Nias Barat,Hilli GoweTuheo Gulo Megalitic Site Nias Barat,"1.0599943,97.4861882",Alam,1.0599943,97.4861882
Hutan bambo,Aceh,Aceh Singkil,Hutan bambo Aceh Singkil,"2.0378002,97.3912633",Alam,2.0378002,97.3912633
Hutan Bambu Bulaksalak,Daerah Istimewa Yogyakarta,Wukirsari,Hutan Bambu Bulaksalak Wukirsari,"-7.6419056,110.4500866",Alam,-7.6419056,110.4500866
Hutan De Djawatan,Jawa Timur,Banyuwangi,Hutan De Djawatan Banyuwangi,"-8.431429,114.226137",Alam,-8.431429,114.226137
Hutan Keluarga Pamarak,Nusa Tenggara Timur,Sumba Barat,Hutan Keluarga Pamarak Sumba Barat,"-9.4931083,119.4198691",Alam,-9.4931083,119.4198691
Hutan Kemiri,Nusa Tenggara Timur,Sumba Barat,Hutan Kemiri Sumba Barat,"-9.4803173,119.4223335",Alam,-9.4803173,119.4223335
Hutan Kota Wanamukti Kebumen,Jawa Tengah,Kebumen,Jalan HM Sarbini,"-7.6644081,109.6647059",Alam,-7.6644081,109.6647059
Hutan Kota Baruga,Sulawesi Tenggara,Kendari,Hutan Kota Baruga Kendari,"-4.0365268,122.4790635",Alam,-4.0365268,122.4790635
Hutan Kota Cipayung,DKI Jakarta,Jakarta Timur,Hutan Kota Cipayung Jakarta Timur,"-6.3390133,106.8905723",Alam,-6.3390133,106.8905723
